Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Portable Yoga Mat 8mm 3 Feet*6 Feet,1250,1175,6,JJ FITNESS & SPORTS,12,85,0,85,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Balance Disc Stability Wobble Cussion Mat Pillow Wiggle Seat for Office or Classroom to Improve Stability & Posture - Home Gym Workout Equipment,1100,844,23,New Champion Sports.,2,87,0,92,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Extra Firm High Density EPP Foam Roller Muscle Back Pain Trigger Yoga Massage-black 60x15cm,1912,1243,35,Urbeauty (Shenzhen),2,82,100,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,MOTORIZED TREADMILL MODEL NO T600 C MULTIFUNCTION-BLACK,55000,36000,35,Fitness & Sports,5,74,0,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,5 Way Manual Treadmill-Black and Red,18500,16475,11,Sports House,18,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Electric Treadmill HT-9857E (Spiro 480),85000,80750,5,Sports World,0,86,0,100,Standard Delivery,100% Authentic from Trusted Brand,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,2 Pcs Guitar Strap Lock Botton Schaller Straplocks Electric Acoustic Bass,388,255,34,Jetting,0,84,100,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Daachi Posture belt, posture corrector belt, Back support belt, Back Pain Relief Shoulder Back Support Belt",800,450,44,Top Happy Shopping,1,84,0,97,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Fitness World BD - Ultra foldable Walking Treadmill - Voit Fitness -1818EB,40000,30150,25,Fitness World BD,1,77,0,54,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Ultra-foldable Walking Pad - VOIT Fitness - 1818EB - gym equipment,45000,27892,38,VIP Fitness,7,82,0,100,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Foot Expander - Black - Yoga Mat,820,401,51,Pure Mall,0,74,0,100,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Unisex Back Posture Corrector Clavicle Spine Back Shoulder Support Belt Back Pain Relief Posture Correction Prevents Slouching (M),1680,780,54,SALI - FBD,0,0,100,100,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Y Shaped 3D Massage Roller,400,280,30,Shafin Electronics,2,86,0,96,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Exercise of different colors Matt -8 mm - Upscaled Quality - Simple to Use,850,750,12,Today Market,4,86,0,92,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Eco Friendly Anti Slip Yoga Mat - 8MM,1599,671,58,ADVANTEK,0,82,0,100,Standard Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Massage Pillow Neck Stretcher Cervical Traction Portable Chiropractic Cervical Relaxer,1050,550,48,faruk360 Online Shop BD,0,86,0,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Mate - Pink,1550,801,48,Saifa store,5,89,0,100,Standard Delivery,Cash on Delivery Available,No
