Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme 11 Pro 5G (8/256GB) Smartphone - Unofficial,39990,38198,4,Alapon Computer,1,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,WALTON Mobile Phone Primo R10 (4/64GB) Smartphone - 6.528 inch Display - 4850mAh High-Capacity Li-Polymer Battery,13499,10920,19,Walton,2,89,100,96,Standard Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme 11 Pro+ 5G (12GB RAM + 256GB) Unofficial,49999,44499,11,Phone Palace,1,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme Narzo 50 (6/128) GB Smartphone (Unofficial),20999,20011,5,Phone Palace,1,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,HONOR X6a 5200mAh Battery 4/128GB Storage 50MP Triple Camera 90Hz Smooth Eye-Comfort Display 90Hz Smooth Eye-Comfort Display- 1 year warranty,17499,16473,6,HONOR,0,97,0,89,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Google Pixel 7 (8/128GB) Smartphone - Unofficial,69990,62989,10,Alapon Computer,1,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Oppo A78 4G (8/256GB) Smartphone,27990,26489,5,Alapon Computer,2,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,POCO X5 pro 5G 8/256GB (Unofficial),38999,33019,15,Phone Palace,0,0,0,98,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,OnePlus 11 5G (8/128GB) Smartphone - Unofficial,85990,84198,2,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme 10 Pro+ 5G (8/128GB) Smartphone - Unofficial,37990,36989,3,Alapon Computer,0,89,100,97,Free Delivery,Cash on Delivery Available,No
